time_s,tag_id,angle_raw_deg,angle_zeroed_deg
1779320585.041305,7,-33.3150,56.5124
1779320585.041305,12,177.3832,-2.1691
1779320585.175310,7,-33.3845,56.4429
1779320585.175310,12,177.7430,-1.8093
1779320585.308105,7,-33.3170,56.5105
1779320585.308105,12,177.8851,-1.6672
1779320585.440337,12,177.8464,-1.7058
1779320585.570101,12,160.3726,-19.1796
1779320585.701558,12,137.4045,-42.1477
1779320585.701558,7,-48.1217,41.7057
1779320585.835335,7,-52.6810,37.1465
1779320585.835335,12,131.2559,-48.2964
1779320585.974206,12,129.0579,-50.4944
1779320585.974206,7,-53.4302,36.3972
1779320586.015060,7,-53.6748,36.1526
1779320586.015060,12,128.8769,-50.6754
1779320586.069857,12,128.6120,-50.9403
1779320586.069857,7,-53.8613,35.9662
1779320586.111261,12,128.4320,-51.1203
1779320586.111261,7,-53.7784,36.0491
1779320586.173390,12,128.3735,-51.1788
1779320586.173390,7,-53.9513,35.8761
1779320586.236294,12,128.1584,-51.3939
1779320586.236294,7,-54.1561,35.6714
1779320586.268381,7,-54.1615,35.6659
1779320586.268381,12,128.2001,-51.3522
1779320586.302621,12,128.1134,-51.4389
1779320586.302621,7,-54.1844,35.6430
1779320586.367809,7,-54.1006,35.7269
1779320586.367809,12,128.0457,-51.5065
1779320586.404279,12,128.0891,-51.4632
1779320586.404279,7,-54.1349,35.6926
1779320586.435070,12,128.1070,-51.4453
1779320586.435070,7,-54.1468,35.6806
1779320586.465840,12,128.1822,-51.3700
1779320586.465840,7,-54.2325,35.5949
1779320586.536702,12,150.0711,-29.4811
1779320586.536702,7,-28.6105,61.2170
1779320586.569553,12,153.8685,-25.6838
1779320586.599649,12,161.5065,-18.0458
1779320586.599649,7,-30.0114,59.8160
1779320586.637007,12,166.8648,-12.6875
1779320586.637007,7,-26.3562,63.4713
1779320586.671112,12,168.8109,-10.7414
1779320586.671112,7,-30.8420,58.9854
1779320586.701172,12,171.3128,-8.2395
1779320586.701172,7,-31.0728,58.7546
